code_annee,code_postal,code_delits,code_indicateur,nb_delits
8,75003,11,1084,22
8,75004,11,1085,20
8,75005,11,1086,89
8,75007,11,1087,16
8,75008,11,1088,90
8,75009,11,1089,58
8,75010,11,1090,85
8,75011,11,1091,59
8,75012,11,1092,49
8,75013,11,1093,75
8,75014,11,1094,51
8,75015,11,1095,112
8,75016,11,1096,112
8,75017,11,1097,149
8,75018,11,1098,156
8,75019,11,1099,46
8,75020,11,1100,206
8,75001,11,1101,54
8,75002,12,1102,74
8,75003,12,1103,83
8,75004,12,1104,64
8,75005,12,1105,156
8,75007,12,1106,151
8,75008,12,1107,164
8,75009,12,1108,181
8,75010,12,1109,249
8,75011,12,1110,255
8,75012,12,1111,244
8,75013,12,1112,360
8,75014,12,1113,194
8,75015,12,1114,385
8,75016,12,1115,345
8,75017,12,1116,345
8,75018,12,1117,491
8,75019,12,1118,496
8,75020,12,1119,532
8,75001,12,1120,163
8,75002,14,1121,12
8,75003,14,1122,18
8,75004,14,1123,9
8,75005,14,1124,30
8,75007,14,1125,6
8,75008,14,1126,63
8,75009,14,1127,22
8,75010,14,1128,42
8,75011,14,1129,31
8,75012,14,1130,22
8,75013,14,1131,33
8,75014,14,1132,22
8,75015,14,1133,65
8,75016,14,1134,95
8,75017,14,1135,37
8,75018,14,1136,67
8,75019,14,1137,58
8,75020,14,1138,101
8,75001,14,1139,25
8,75002,17,1140,0
8,75003,17,1141,0
8,75004,17,1142,0
8,75005,17,1143,0
8,75007,17,1144,0
8,75008,17,1145,0
8,75009,17,1146,0
8,75010,17,1147,0
8,75011,17,1148,0
8,75012,17,1149,0
8,75013,17,1150,0
8,75014,17,1151,0
8,75015,17,1152,0
8,75016,17,1153,0
8,75017,17,1154,0
8,75018,17,1155,0
8,75019,17,1156,0
8,75020,17,1157,0
8,75001,17,1158,0
8,75002,18,1159,0
8,75003,18,1160,0
8,75004,18,1161,0
8,75005,18,1162,0
8,75007,18,1163,0
8,75008,18,1164,0
8,75009,18,1165,0
8,75010,18,1166,0
8,75011,18,1167,0
8,75012,18,1168,0
8,75013,18,1169,0
8,75014,18,1170,0
8,75015,18,1171,0
8,75016,18,1172,0
8,75017,18,1173,1
8,75018,18,1174,0
8,75019,18,1175,2
8,75020,18,1176,0
8,75001,18,1177,1
8,75002,20,1178,0
8,75003,20,1179,1
8,75004,20,1180,0
8,75005,20,1181,2
8,75007,20,1182,0
8,75008,20,1183,1
8,75009,20,1184,2
8,75010,20,1185,8
8,75011,20,1186,2
8,75012,20,1187,4
8,75013,20,1188,2
8,75014,20,1189,1
8,75015,20,1190,2
8,75016,20,1191,0
8,75017,20,1192,6
8,75018,20,1193,7
8,75019,20,1194,6
8,75020,20,1195,3
8,75001,20,1196,2
8,75002,21,1197,0
8,75003,21,1198,0
8,75004,21,1199,0
8,75005,21,1200,0
8,75007,21,1201,1
8,75008,21,1202,1
8,75009,21,1203,0
8,75010,21,1204,1
8,75011,21,1205,0
8,75012,21,1206,0
8,75013,21,1207,1
8,75014,21,1208,2
8,75015,21,1209,2
8,75016,21,1210,3
8,75017,21,1211,1
8,75018,21,1212,8
8,75019,21,1213,2
8,75020,21,1214,2
8,75001,21,1215,1
8,75002,22,1216,2
8,75003,22,1217,12
8,75004,22,1218,8
8,75005,22,1219,13
8,75007,22,1220,7
8,75008,22,1221,14
8,75009,22,1222,11
8,75010,22,1223,34
8,75011,22,1224,20
8,75012,22,1225,15
8,75013,22,1226,27
8,75014,22,1227,24
8,75015,22,1228,16
8,75016,22,1229,23
8,75017,22,1230,29
8,75018,22,1231,100
8,75019,22,1232,45
8,75020,22,1233,29
8,75001,22,1234,21
